case_id,state,node,heat_W,condition,mechanical_sink_node,thermal_contact_R_K_W,qualification
SBP009,run,controller_allocation,0.05863111256337172,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP009,run,input_capacitor_leakage,0.055893697690115166,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP009,run,CHB_conversion,63.70588235294119,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP009,run,THN_conversion,1.8666666666666676,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP009,run,startup_bias_allocation,0.25,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP009,cold,shared_contact_loop,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP009,cold,main_before_sense,1.8e-07,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP009,cold,main_after_sense,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP009,cold,auxiliary_branch,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP009,cold,controller_allocation,0.059999819999999995,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP009,cold,input_capacitor_leakage,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP009,cold,THN_conversion,1.8666666666666676,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP009,cold,startup_bias_allocation,0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,run,shared_contact_loop,0.0,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,run,main_before_sense,9.205839892512326,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,run,main_after_sense,18.406531085023985,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,run,auxiliary_branch,0.0,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,run,controller_allocation,0.05871273499983406,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,run,input_capacitor_leakage,0.05613856499950217,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,run,CHB_conversion,40.11111111111113,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,run,THN_conversion,4.2,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,run,startup_bias_allocation,0.25,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,cold,shared_contact_loop,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,cold,main_before_sense,1.8e-07,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,cold,main_after_sense,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,cold,auxiliary_branch,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,cold,controller_allocation,0.059999819999999995,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,cold,input_capacitor_leakage,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,cold,THN_conversion,4.2,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP010,cold,startup_bias_allocation,0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,run,shared_contact_loop,0.0,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,run,main_before_sense,9.205839892512326,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,run,main_after_sense,18.406531085023985,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,run,auxiliary_branch,0.0,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,run,controller_allocation,0.05871273499983406,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,run,input_capacitor_leakage,0.05613856499950217,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,run,CHB_conversion,40.11111111111113,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,run,THN_conversion,1.8666666666666676,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,run,startup_bias_allocation,0.25,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,cold,shared_contact_loop,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,cold,main_before_sense,1.8e-07,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,cold,main_after_sense,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,cold,auxiliary_branch,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,cold,controller_allocation,0.059999819999999995,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,cold,input_capacitor_leakage,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,cold,THN_conversion,1.8666666666666676,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP011,cold,startup_bias_allocation,0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP012,run,shared_contact_loop,0.0,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP012,run,main_before_sense,10.410293411993045,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP012,run,main_after_sense,20.815111634239575,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
