id,pn,configuration,product_role,representation_role,qualification_status,parent_assembly,mount_interface,mass_source,mass_owner,mass_kg,mass_basis,source_revision,allocated_dynamics_mass_kg,allocated_dynamics_mass_source,allocated_mass_reference,handoff_sha256,receipt_sha256,geometry_snapshot_sha256
hold_fold_mast_1,WP03_HOLD_FOLD_MAST_1,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_pivot_pin_1,CAD_ESTIMATE,hold_fold_mast_1,0.1566104086791367,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP03_PARAMETRIC_DESIGN,0.1566104086791367,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_saddle_1,WP03_HOLD_SADDLE_1,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_fold_mast_1,CAD_ESTIMATE,hold_saddle_1,0.08959401311563091,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP03_PARAMETRIC_DESIGN,0.08959401311563091,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_contact_pad_1_0,WP03_HOLD_CONTACT_PAD_1_0,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_saddle_1,UNKNOWN,hold_contact_pad_1_0,,WP02_NOMINAL_CONTACT_GEOMETRY; REAL_ALLOWABLE_ZONE_PENDING,WP03_PARAMETRIC_DESIGN,,UNKNOWN,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_contact_pad_1_1,WP03_HOLD_CONTACT_PAD_1_1,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_saddle_1,UNKNOWN,hold_contact_pad_1_1,,WP02_NOMINAL_CONTACT_GEOMETRY; REAL_ALLOWABLE_ZONE_PENDING,WP03_PARAMETRIC_DESIGN,,UNKNOWN,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_open_cap_1,WP03_HOLD_OPEN_CAP_1,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_fold_mast_1,CAD_ESTIMATE,hold_open_cap_1,0.07666211987087018,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP03_PARAMETRIC_DESIGN,0.07666211987087018,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_upper_pad_1,WP03_HOLD_UPPER_PAD_1,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_open_cap_1,UNKNOWN,hold_upper_pad_1,,UPPER_CONTACT_ZONE_AND_PRELOAD_PENDING,WP03_PARAMETRIC_DESIGN,,UNKNOWN,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_cap_pin_1,WP03_HOLD_CAP_PIN_1,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_fold_mast_1,CAD_ESTIMATE,hold_cap_pin_1,0.00799032675514029,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP03_PARAMETRIC_DESIGN,0.00799032675514029,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_cap_tie_1,WP03_HOLD_CAP_TIE_1,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_open_cap_1,CAD_ESTIMATE,hold_cap_tie_1,0.02790050301598785,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP03_PARAMETRIC_DESIGN,0.02790050301598785,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_latch_clevis_1,WP03_HOLD_LATCH_CLEVIS_1,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_saddle_1,CAD_ESTIMATE,hold_latch_clevis_1,0.011652985008043338,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP03_PARAMETRIC_DESIGN,0.011652985008043338,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
hold_latch_pin_1,WP03_HOLD_LATCH_PIN_1,service,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ONBOARD_RETENTION,hold_latch_clevis_1,CAD_ESTIMATE,hold_latch_pin_1,0.002367504223745277,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP03_PARAMETRIC_DESIGN,0.002367504223745277,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json,c7042e809e9c10db61d29f37bf71ed5fdb4e900c84afe1abf514bd113545cd70,66d222d03cf2e6b74f1e28a525e81a14eadbb914e8e2b4d008fbd4aafa50d71e,3ca6fc5ee8e3c6f4f02baa7feab86bf207d4c96f7acb4329bf4715f31ce7c3f1
