configuration,mesh_set,arm_part,link,env_part,env_role,tier,aabb_gap_mm,mesh_gap_mm,effective_gap_mm,classification,counts_as_real,q_deg
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Torsion_Spring_2_Left,BUS_STRUCTURE,AABB_CLEAR,250.5818,,250.5818,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Torsion_Spring_2_Right,BUS_STRUCTURE,AABB_CLEAR,250.5913,,250.5913,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,WING_L_STOWED,SOLAR_WING,AABB_CLEAR,166.2478,,166.2478,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,WING_R_STOWED,SOLAR_WING,AABB_CLEAR,166.2578,,166.2578,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Adapter_Plate,ARM_MOUNT_INTERFACE,AABB_CLEAR,84.05,,84.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Aft_Saddle,SADDLE_PLACEHOLDER,AABB_CLEAR,283.8346,,283.8346,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Central_Boss,ARM_MOUNT_INTERFACE,AABB_CLEAR,74.05,,74.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Deck_Front_Bay,BUS_STRUCTURE,AABB_CLEAR,163.05,,163.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Deck_Mid_Bay,BUS_STRUCTURE,AABB_CLEAR,224.05,,224.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Deck_Rear_Bay,BUS_STRUCTURE,AABB_CLEAR,346.05,,346.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
