module,instance_id,representation_role,quantity,source_step,source_sha256,native_part,native_sha256,size_x_mm,size_y_mm,size_z_mm,actual_hardware_selected,manufacturing_release
battery_mount,WP09_BAT_-76_78_screw,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\WP09_BAT_-76_78_screw.step,af245870ddac953d417b1fed44382848a6f60d7920914be6d985b8ebc2ca5e19,,,6.046445556074374,6.046445556073991,10.000000000000526,False,False
battery_mount,WP09_BAT_-76_78_washer,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\WP09_BAT_-76_78_washer.step,a5f9c3acd7ea93639d3fe77a9fe4c5d64682c112b5c4ca4a099986fba1632855,,,7.0,7.0,0.5,False,False
battery_mount,WP09_BAT_-76_78_nut,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\WP09_BAT_-76_78_nut.step,918bd4fd8c71b43b771ece077d7ea86c335a2c418d4111bb1cc64d7ea2834d16,,,5.5,6.349999999999994,2.4000000000000057,False,False
battery_mount,CONTEXT_equipment_battery,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\CONTEXT_equipment_battery.step,1c76a8e250f5a1de0557eddb43bbd3f2bd936b4353af9f73979101546d8e12f4,,,90.0,170.0,65.0,False,False
battery_mount,CONTEXT_thermal_interface_battery,PHYSICAL_GEOMETRY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\battery_mount_v2\CONTEXT_thermal_interface_battery.step,8d363eb2a450d5c7a6ad7bb81354bd101b39f1ca91cb2051415c412807af2ea7,,,80.0,160.0,0.5,False,False
a3200,A3200_CARRIER,PHYSICAL_GEOMETRY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\a3200\A3200_CARRIER.step,726754b4853c62dfd97e72e7eb631215a4c7f294fc4b14ade8f22591bdaf3243,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\native\a3200\parts\A3200_CARRIER.SLDPRT,40ed90edf98bf74eee6fdf025927d887c86a3fea4f328c3a8047e60b25885929,85.0,60.0,2.0,False,False
a3200,A3200_BOARD_REFERENCE,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\a3200\A3200_BOARD_REFERENCE.step,f280933eeb3255102156ff772220a6481cb95d3610e31b6cdd224caabfb419c6,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\native\a3200\parts\A3200_BOARD_REFERENCE.SLDPRT,7286d3bf52c982026be22fab54b3b7ef1f12ea6a48bce0dbf72eb8b66368e4ce,65.0,40.0,1.7999999999999998,False,False
a3200,A3200_SPACER_0,PHYSICAL_GEOMETRY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\a3200\A3200_SPACER_0.step,6131f0f6493d72c7f88d81bb5f4961aedcf530eae170ca12d09bca9d4dd854d8,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\native\a3200\parts\A3200_SPACER_0.SLDPRT,f47b4bd2358df47f1a205e81e02ff6c1591dc55713a5481bea95483228c308eb,5.5,5.5,3.0,False,False
a3200,A3200_SCREW_0,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\a3200\A3200_SCREW_0.step,5625293815e486ac988043b2d21aae0ab5a2fbf1f2b91ac40aadead7f1a7aca5,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\native\a3200\parts\A3200_SCREW_0.SLDPRT,c6373eb42c9209dd354f6ff910e446e186b90fea8fe70138d5b2941990545b64,5.5,5.500000000000002,15.000000000000004,False,False
a3200,A3200_TOP_WASHER_0,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\a3200\A3200_TOP_WASHER_0.step,bc615d34ab82a0baa43920547e204e2fd0b729ffcb7ab88c267a6f3d35496012,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\native\a3200\parts\A3200_TOP_WASHER_0.SLDPRT,127bfd30b60cf4b0943ba274de03fdd50381dedf175ffd876cb1137d4b41f11e,7.0,7.0,0.5,False,False
a3200,A3200_BOTTOM_WASHER_0,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\a3200\A3200_BOTTOM_WASHER_0.step,9485775d695102d3eb77dca2a94df360255cf3a04dc6e994dedf1f9c8e5d1618,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\native\a3200\parts\A3200_BOTTOM_WASHER_0.SLDPRT,414fef3aabefc8c258e5205381372a21f63572938a02ee492a205107663d1b88,7.0,7.0,0.5,False,False
a3200,A3200_NUT_0,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\a3200\A3200_NUT_0.step,e0c45669b3ec04263e994c559c8595f29a9c192addb25ba927535285ee63f7a5,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\native\a3200\parts\A3200_NUT_0.SLDPRT,349970eb4cc722b1785cd67b3c61a5ec4f04eea7d3480ae7824b4af285068235,5.5,6.350000000000001,2.400000000000003,False,False
a3200,A3200_SPACER_1,PHYSICAL_GEOMETRY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\a3200\A3200_SPACER_1.step,48ccf367e1173fd18784324448c54c3c9710e15d2d400cf898e1b9bf565f0565,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\native\a3200\parts\A3200_SPACER_1.SLDPRT,ed80af6d574ef088e0377c2dabcee6aa1df7d5cbbaec3ff28188d7ab5df4edd8,5.5,5.5,3.0,False,False
a3200,A3200_SCREW_1,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\a3200\A3200_SCREW_1.step,749db9e5c277b04e77b3d1d2e1768bf38ed45f4f660a9a9b72b61b8ca9cb5fda,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\native\a3200\parts\A3200_SCREW_1.SLDPRT,46eb45608359deb689d36a7bebada04bb302f0d5310c6f8fc9e535a42d7ba4cf,5.5,5.500000000000002,15.000000000000004,False,False
a3200,A3200_TOP_WASHER_1,SIMPLIFIED_PROXY,1,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\results\a3200\A3200_TOP_WASHER_1.step,1826cf68bfdb69b1ebfc734910e1ea3c86823c7e12581673f26f0b0c3aa89eaa,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_electro_propulsion_20260907_1350\native\a3200\parts\A3200_TOP_WASHER_1.SLDPRT,6327c8a0444393a77c44e2d2bbffbfa0370cd666e69151af52f13f21c4092082,7.0,7.0,0.5,False,False
