sample_index,t_s,base_x_m,base_y_m,base_z_m,base_q_w,base_q_x,base_q_y,base_q_z,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_attitude_deviation_deg,base_vx_m_s,base_vy_m_s,base_vz_m_s,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,momentum_residual_norm_S,authority_class,attached_target_propagated,released_for_mission_gate
587,5.87,-0.016593658288120126,-0.027475219000353802,0.00569297828041279,0.8208555182850841,0.5483867574427339,-0.12005380619584012,0.10514402493847091,67.09533880628051,-18.204699776544086,2.4703086742264064,69.65894733478996,-0.005593903076751437,0.002330452446440408,0.00682393869135357,0.3930187518506293,0.023858292010899482,0.13683008267466618,1.5850664963224448e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
588,5.88,-0.016659422332168005,-0.027531803536519163,0.005721096394974174,0.8197190731339946,0.5499032127592511,-0.12012239000451701,0.1060080617547609,67.30620929017059,-18.271585730778355,2.5158320983888216,69.88663644587672,-0.005593839803174589,0.002367009803458021,0.006794407634023528,0.3927895285879641,0.024801266394495508,0.1368857853668907,1.0816665110907547e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
589,5.89,-0.01672519098885115,-0.027588205090771152,0.005749158365272402,0.8185802496057446,0.5514157947747937,-0.12018685133529747,0.10687430464983867,67.51680289538918,-18.338450000023162,2.561651341008267,70.1141544079137,-0.005593663392385443,0.0024032271597664964,0.00676460601654579,0.3925527029298749,0.025745198583180518,0.13693359819186868,6.019265493296078e-17,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
590,5.9,-0.016790962722779426,-0.027644423467303093,0.005777163072966226,0.8174390827635429,0.5529244690364784,-0.12024717560147125,0.10774272259087844,67.72711461870517,-18.40529083763718,2.607766502298448,70.34149658831493,-0.0055933740214283096,0.0024391019044051865,0.0067345380621289435,0.39230828535429685,0.0266900003802523,0.13697350477400683,1.7840684290838503e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
591,5.91,-0.016856735999087352,-0.027700458479698493,0.005805109406710762,0.8162956078848338,0.5544292013811859,-0.12030334853442018,0.10861328434015805,67.93713946920707,-18.47210649148366,2.654177668527197,70.56865836135401,-0.005592971874553458,0.0024746314901359146,0.00670420802001699,0.392056286801766,0.02763558332606765,0.1370054897404974,1.3429269663635325e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
592,5.92,-0.016922509283551008,-0.02775630995086387,0.0058329962622638695,0.8151498604578697,0.5559299579384395,-0.12035535618572493,0.10948595845809489,68.14687246870749,-18.53889520397444,2.7008849118920817,70.79563510844875,-0.005592457143141016,0.002509813433745944,0.006673620164504897,0.3917967186758484,0.028581858711008993,0.1370295387250369,1.688662199466889e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
593,5.93,-0.01698828104270458,-0.027811977712961095,0.0058608225425916816,0.8140018761782508,0.557426705133247,-0.12040318492923086,0.11036071330630841,68.35630865214847,-18.60565521211531,2.7478882903951276,71.02242221844563,-0.005591830025623969,0.0025446453163334814,0.006642778793950177,0.39152959284351513,0.029528737588499315,0.137045638371385,1.3904866443919908e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
594,5.94,-0.017054049743956617,-0.027867461607339338,0.005888587157973298,0.8128516909454256,0.5589194096889084,-0.12044682146307356,0.11123751705071026,68.56544306800788,-18.672384747552837,2.795187847716896,71.24901508790506,-0.00559109072741036,0.002579124783575306,0.006611688229780999,0.39125492163545994,0.030476130788057904,0.13705377633677313,1.7789164229584471e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
595,5.95,-0.017119813855705882,-0.027922761484466565,0.005916289026104589,0.8116993408591582,0.560408038629787,-0.12048625281166335,0.11211633766462073,68.77427077870686,-18.73908203662283,2.8427836130897197,71.47540912138686,-0.005590239460804615,0.0026132495459765485,0.00658035281550127,0.39097271784636234,0.03142394892839454,0.13705394129515683,1.2432050435751766e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
596,5.96,-0.017185571847456962,-0.027977877203860656,0.005943927072201119,0.8105448622159588,0.5618925592840466,-0.1205214663276288,0.11299714293191199,68.98278686101834,-18.805745300400076,2.8906756011704395,71.70159973173608,-0.005589276444928177,0.002647017379102782,0.006548776915692659,0.39068299473508955,0.0323721024305481,0.13704612294031343,7.67210752826985e-17,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
597,5.97,-0.017251322189935418,-0.028032808634020117,0.005971500229100146,0.8093882915054819,0.5633729392863474,-0.1205524496937189,0.1138799004501764,69.19098640647609,-18.872372754749822,2.938863811912232,71.92758234036916,-0.005588201905639422,0.0026804261237940775,0.006516964915014436,0.3903857660248466,0.03332050153105772,0.1370303119887845,1.214306433183765e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
598,5.98,-0.017317063355202597,-0.02808755565235441,0.0059990074373616805,0.8082296654068887,0.5648491465805097,-0.1205791909246639,0.11476457763392098,69.39886452178503,-18.938962610380933,2.987348230435851,72.1533523775603,-0.005587016075452769,0.0027134736863612557,0.006484921217200816,0.39008104590325776,0.03426905629517497,0.13700650018266292,2.7550991621566353e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
599,5.99,-0.017382793816770048,-0.028142118145113897,0.006026447645368585,0.807069020785178,0.5663211494221351,-0.12060167836899434,0.1156511417177858,69.60641632923196,-19.005513072900456,3.0361288269002205,72.37890528272823,-0.005585719193457344,0.0027461580387639958,0.00645265024405692,0.38976884902240033,0.035217676630106914,0.1369746802922285,2.3045068499893425e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
