path,bytes,mtime_ns,sha256,exists
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\55_c3_design_basis\CANDIDATE_MASS_CG_V1.json,27529,1787824590605749200,3729C177012BD4264AED84FA2B0874A82E5A4F97CCADDA907338DFF38773602A,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\55_c3_design_basis\compute_candidates.py,22390,1787822480467043400,BAE6BB5C57E27F89FD45F2618E5025FEAF964CE6856E559DF88275DC4CEB44B3,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\55_c3_design_basis\DESIGN_BASIS_V1.md,14666,1787822981962248500,B14669C0502756EDCDB93A9476C2E3823B53DA6D654FA9837897287B5C0EA867,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\56_c3_redteam\RT1_CRITIQUE_V1.md,3857,1787826694649093600,C6ABAF940C33812ACDDAA2A01740714CEF3F3547E998C2530DFEDCD6554E49E8,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\56_c3_redteam\RT2_CRITIQUE_V1.md,2830,1787826739032115400,4C46BED7C3C2FCF6E1EEF77B6B9ED60E815CDDC3EEA6345CD7911E48E2E8D52C,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\56_c3_redteam\RT3_CRITIQUE_V1.md,4168,1787826799910242500,D788F43C8E139D79EAF64FAD234441052B2E6E9F5C3BC7F7D1C6B99D9083FF5E,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\56_c3_redteam\rt_verify.py,6269,1787826961464644300,854DD8D90B9B09704743D63277B2D9D2A3F9E2A465C3949D61B04612A9C09255,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\56_c3_redteam\RT_VERIFY_OUT_V1.json,3836,1787826961559332000,5B4C518F1C600A3BEB51DEF0440E2DFAE2DF09A6169097DA86F039B055216A89,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\57_c3_decision\DECISION_C3_ARCHITECTURE_V1.md,3874,1787827043339274600,80398DEF43BE6C1223BD06CFE19F19CD6394B590B20F3AD2D594261E70773802,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\57_c3_decision\DECISION_MATRIX_V1.json,1109,1787827043384574400,E0C26FFAC36C85254465B18B80AA2EA144B38F6F7DC381286F977F6E5094606B,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\60_c2_panel\A1_CONCLUSION_RESTATEMENT_V1.md,6019,1787819132316464700,1EE392B14BEF7DF07A8FD23A96F2FEF0BC7A9097F48992715A23AB3FA250DC3F,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\60_c2_panel\compute_c2_checks.py,30114,1787818734471557000,C2672FA22938D356A057A48FD1FCB0E88B5EC5EBFD5375E09E25AED182BB930A,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\60_c2_panel\GATE_C2_CHECK.json,11423,1787819337727752900,69DB708FBF308DF89E46B05EE819300B6B5AE27C6C8E3B4C7EA405FAD06D1ED2,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\60_c2_panel\PANEL_MASS_LINE_RECONCILIATION_V1.md,8016,1787818857665592000,7C840E75D256A6A5BC9332D32AD25769AAC9138E395787C01AA209A6AA9D68E0,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\60_c2_panel\PANEL_PARAM_ENVELOPE_V2.yaml,14603,1787818996753401600,074F868EE762A8680C7F8679208CFBD9D3B5CE1B30434B40814EF16E765A59D7,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\60_c2_panel\PANEL_VERIFICATION_V1.json,21367,1787819396738398200,34812EA0BC793371FEF9DA68D00989CAB4A2CA4FA7B920C5118337A2B277193D,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\60_c2_panel\SENSITIVITY_CAMPAIGN_PLAN_V1.md,6372,1787819237427373600,BCD0C6DD69174E678288BCAEA87948A914659F03A972072BDF6CAB04B81EE2D8,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\build_ca_a_r1.py,12815,1787827436176699800,0562A4BDA3188D3E7EA47C5C7D2A83646027B0D8DA3A2C1F9EFD159560569665,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\build_ca_a_r1_v2.py,14282,1787828287859403300,0AF739A5803D21C7C4795EEA6065916AC65A33D1E6B9272EB7F7E73E302D1CEE,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\BUILD_RECEIPT_V1.json,10102,1787827439129965100,F17F31A6588B3DF4A76EA0F9F8F5FC9D2F9E225426C5AF932D978D91297FA018,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\BUILD_RECEIPT_V2.json,11460,1787828290696704600,B3F08C1DFFBC8D15117154EEA380DF2C4941BF9A780750C302299DD90B0B0722,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\CA_A_R1_INTERNAL_STRUCTURE_V1.FCStd,30879,1787827439175630600,B8A6AC2C414C7320F8F3371DEB48B51B700B459DDE73294523C643146E1F533B,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\CA_A_R1_INTERNAL_STRUCTURE_V1.step,1640,1787827439193602500,6605655AE82FCCBB57B34C7ECEC73CBEA91C3513C22A300260E25B013D85DF95,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\CA_A_R1_INTERNAL_STRUCTURE_V2.20260827-195633.FCBak,35106,1787828193398032700,0B8D54BAA05020C8CA546D86E22E3E12E9F668680857B7C1BEA74BC23A6E15A0,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\CA_A_R1_INTERNAL_STRUCTURE_V2.FCStd,35730,1787828290736250600,DB77D3C96B90DB4901F1AFE2453050A68928F69B1F7266AD0C0BECE404A9E69C,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\CA_A_R1_INTERNAL_STRUCTURE_V2.step,273455,1787828290797616000,E0A1644A1956FFD192F5EDE04D8141DF020871BE78ECCCDCFC3F56F0B355F561,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\GATE_C3_CHECK.json,1174,1787827439136240300,FBE949A1266EE6017D60DEF80387FE9950CCB7ECA87DA5DADFDBD52FE28C17D7,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\GATE_C3_CHECK_V2.json,869,1787828290700996100,BC1D85E42877E22A2F3A9A2CC5C9AA6A1221B3015A6FF599306ABF49F1F166B6,True
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\70_c3_cad\INTERFERENCE_REPORT_V1.json,68127,1787827439135240400,34A652B6344B5BE31E1FF20F7C5BFCE3C791D798CBB395A736726531DD6E8800,True
