lane_id,sample_index,t_s,base_x_m,base_y_m,base_z_m,quat_w,quat_x,quat_y,quat_z,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,base_dev_deg,energy_J,joint_work_J,momentum_dP_norm,momentum_dL_norm,joint1_q_rad,joint2_q_rad,joint3_q_rad,joint4_q_rad,joint5_q_rad,joint6_q_rad
ODR01_DYNAMICS_T_SM,107,1.070000000000e+00,1.3199900384772714e-04,-7.9121833764935907e-05,-1.4906696178246579e-04,9.9967378777352323e-01,3.8867302177508973e-03,-2.4824533178248093e-02,4.5775451099041749e-03,2.2844143842830612e-02,-1.1641714899866903e-01,3.5985191033434234e-02,2.9270460147827064e+00,9.3177256920575543e-03,9.3177256920808655e-03,5.1225770362461205e-17,7.0166562545389113e-17,-1.4303004158937660e-01,-1.1434533886344589e+00,-1.3669537744796758e+00,-1.1089315036934726e+00,-4.7668911382954662e-02,1.6720923495294643e-05
ODR01_DYNAMICS_T_SM,108,1.080000000000e+00,1.4044646551127549e-04,-7.9547228344210228e-05,-1.5296172021735005e-04,9.9965777761630048e-01,4.0003527753620857e-03,-2.5409831429028005e-02,4.7608082990486886e-03,2.3364820435154251e-02,-1.1770536728257186e-01,3.7110872165734610e-02,2.9980178764673506e+00,9.5876870005249786e-03,9.5876870004442463e-03,2.9845311177454601e-17,4.8728827080702661e-17,-1.4649192143673062e-01,-1.1457591205935409e+00,-1.3661784680891393e+00,-1.1062426963282892e+00,-4.8822890978018597e-02,1.6680380556351100e-05
ODR01_DYNAMICS_T_SM,109,1.090000000000e+00,1.4925679594384977e-04,-7.9907580690782222e-05,-1.5692124947254996e-04,9.9964117286867138e-01,4.1164872289512168e-03,-2.6001530467848581e-02,4.9497931240403128e-03,2.3895508239439398e-02,-1.1897815654967257e-01,3.8258902590043095e-02,3.0698930787341832e+00,9.8623334295408448e-03,9.8623334296691709e-03,4.8199097454382930e-17,3.4999416468062566e-17,-1.4999794452728277e-01,-1.1480942534824954e+00,-1.3653932755846823e+00,-1.1035196033487382e+00,-4.9991585237991985e-02,1.6639320644868747e-05
ODR01_DYNAMICS_T_SM,110,1.100000000000e+00,1.5843954588164546e-04,-8.0200316014644274e-05,-1.6094612204359878e-04,9.9962395933715154e-01,4.2351784513290401e-03,-2.6599551399031831e-02,5.1446134910715525e-03,2.4436372646494366e-02,-1.2023490047377829e-01,3.9429268355327028e-02,3.1426689956455847e+00,1.0141685911885572e-02,1.0141685911672324e-02,4.1921487023403080e-17,3.8252521065984439e-17,-1.5354800965684759e-01,-1.1504587198958276e+00,-1.3645982196315196e+00,-1.1007623033590952e+00,-5.1174960427572004e-02,1.6597744946075055e-05
ODR01_DYNAMICS_T_SM,111,1.110000000000e+00,1.6800434377027101e-04,-8.0422843974167256e-05,-1.6503691825843199e-04,9.9960612274506255e-01,4.3564719537166714e-03,-2.7203812234987478e-02,5.3453832961686031e-03,2.4987577701250301e-02,-1.2147498169516104e-01,4.0621939231536716e-02,3.2163428232607267e+00,1.0425764687213799e-02,1.0425764687352835e-02,2.8819390842226271e-17,3.6964775576159351e-17,-1.5714200851166457e-01,-1.1528524476928190e+00,-1.3637933244870939e+00,-1.0979708804855723e+00,-5.2372980441557145e-02,1.6555654728459508e-05
ODR01_DYNAMICS_T_SM,112,1.120000000000e+00,1.7796089256931743e-04,-8.0572560048825810e-05,-1.6919422668224744e-04,9.9958764873973105e-01,4.4804138802529390e-03,-2.7814227871520207e-02,5.5522163456527360e-03,2.5549285840912459e-02,-1.2269778214299780e-01,4.1836868445187761e-02,3.2909115783767620e+00,1.0714589255380515e-02,1.0714589255389298e-02,7.6721075282698495e-17,3.1043796297781369e-17,-1.6077982572968774e-01,-1.1552753600383487e+00,-1.3629786159873483e+00,-1.0951454243287138e+00,-5.3585606825277410e-02,1.6513051343055823e-05
ODR01_DYNAMICS_T_SM,113,1.130000000000e+00,1.8831896558777053e-04,-8.0646847108974939e-05,-1.7341864443467511e-04,9.9956852289888698e-01,4.6070509938902623e-03,-2.8430710101227327e-02,5.7652262763075272e-03,2.6121657626970975e-02,-1.2390268337125257e-01,4.3073992428085871e-02,3.3663721012528978e+00,1.1008178326020229e-02,1.1008178325972725e-02,4.2349997174859565e-17,1.1107649934270853e-16,-1.6446133896187526e-01,-1.1577273754437147e+00,-1.3621541215330011e+00,-1.0922860299157935e+00,-5.4812798795024542e-02,1.6469936222724164e-05
ODR01_DYNAMICS_T_SM,114,1.140000000000e+00,1.9908840284314411e-04,-8.0643076899180905e-05,-1.7771077758486854e-04,9.9954873073787009e-01,4.7364306663590173e-03,-2.9053167602588838e-02,5.9845264734512882e-03,2.6704851471352858e-02,-1.2508906690777358e-01,4.4333230579748563e-02,3.4427210555632595e+00,1.1306549764359604e-02,1.1306549764508808e-02,2.5257955065251657e-17,7.9158342369703860e-17,-1.6818641893347858e-01,-1.1602084078074542e+00,-1.3613198700758191e+00,-1.0893927976532125e+00,-5.6054513258482055e-02,1.6426310881433374e-05
ODR01_DYNAMICS_T_SM,115,1.150000000000e+00,2.1027910714011713e-04,-8.0558611590573849e-05,-1.8207124153830551e-04,9.9952825771679488e-01,4.8686008653937686e-03,-2.9681505937917952e-02,6.2102299876506655e-03,2.7299023357019614e-02,-1.2625631461634196e-01,4.5614485044071569e-02,3.5199549291540801e+00,1.1609720533255111e-02,1.1609720532963474e-02,8.3555347216104191e-17,9.0506402391312036e-17,-1.7195492950533223e-01,-1.1627183664561642e+00,-1.3604758921048923e+00,-1.0864658332788955e+00,-5.7310704835155546e-02,1.6382176913543202e-05
ODR01_DYNAMICS_T_SM,116,1.160000000000e+00,2.2190103983815867e-04,-8.0390805387062293e-05,-1.8650066139037176e-04,9.9950708924745735e-01,5.0036101383952175e-03,-3.0315627565845507e-02,6.4424494524496440e-03,2.7904326553337775e-02,-1.2740380907138393e-01,4.6917640500782065e-02,3.5980700362680569e+00,1.1917706631458825e-02,1.1917706631679565e-02,8.5548429492723566e-17,1.4331167885963448e-17,-1.7576672773514268e-01,-1.1652571561853236e+00,-1.3596222196329066e+00,-1.0835052478146887e+00,-5.8581325876802655e-02,1.6337535993086526e-05
ODR01_DYNAMICS_T_SM,117,1.170000000000e+00,2.3396421704309514e-04,-8.0137006097208820e-05,-1.9099967238059778e-04,9.9948521070120866e-01,5.1415076000770688e-03,-3.0955431827088056e-02,6.6812969966502465e-03,2.8520911326571474e-02,-1.2853093394502080e-01,4.8242563972210856e-02,3.6770625166304547e+00,1.2230523028127611e-02,1.2230523028117911e-02,1.0971354589302190e-16,5.9343011348999153e-17,-1.7962166393877865e-01,-1.1678246773001131e+00,-1.3587588861824191e+00,-1.0805111575187558e+00,-5.9866326487863497e-02,1.6292389873051563e-05
ODR01_DYNAMICS_T_SM,118,1.180000000000e+00,2.4647870509858125e-04,-7.9794556804115539e-05,-1.9556892024008506e-04,9.9946260741589132e-01,5.2823429124383659e-03,-3.1600814967301313e-02,6.9268841614301526e-03,2.9148924645868369e-02,-1.2963707440610328e-01,4.9589104645907087e-02,3.7569283385033558e+00,1.2548183593603162e-02,1.2548183593624909e-02,4.1633363423443370e-17,1.0716042783326733e-16,-1.8351958175155950e-01,-1.1704208256562361e+00,-1.3578859267721308e+00,-1.0774836838379767e+00,-6.1165654545890506e-02,1.6246740384664120e-05
ODR01_DYNAMICS_T_SM,119,1.190000000000e+00,2.5945461648207936e-04,-7.9360797510066950e-05,-2.0020906164264980e-04,9.9943926470375288e-01,5.4261662686319869e-03,-3.2251670133086420e-02,7.1793218115528135e-03,2.9788509885132843e-02,-1.3072161753084638e-01,5.0957093713606974e-02,3.8376632985689367e+00,1.2870701026503333e-02,1.2870701026658944e-02,3.2546297322629187e-17,5.4367739283546557e-17,-1.8746031818954570e-01,-1.1730454927007403e+00,-1.3570033779031612e+00,-1.0744229533603427e+00,-6.2479255721978912e-02,1.6200589436669786e-05
ODR01_DYNAMICS_T_SM,120,1.200000000000e+00,2.7290210538460376e-04,-7.8833066834495453e-05,-2.0492076462027992e-04,9.9941516785906515e-01,5.5730283730935871e-03,-3.2907887383380310e-02,7.4387200479729375e-03,3.0439806521200947e-02,-1.3178395272464663e-01,5.2346344227055225e-02,3.9192630233453434e+00,1.3198086777177350e-02,1.3198086776826603e-02,5.0990248331644440e-17,5.9690622354909203e-17,-1.9144370371082745e-01,-1.1756985655128380e+00,-1.3561112775453221e+00,-1.0713290977673553e+00,-6.3807073501196646e-02,1.6153939014616188e-05
ODR01_DYNAMICS_T_SM,121,1.210000000000e+00,2.8683136318166473e-04,-7.8208703726050964e-05,-2.0970470896520033e-04,9.9939030216566727e-01,5.7229804197381148e-03,-3.3569353707547045e-02,7.7051881216058399e-03,3.1102949828753189e-02,-1.3282347215463550e-01,5.3756650971163493e-02,4.0017229711918967e+00,1.3530350967591863e-02,1.3530350967907272e-02,1.6996749443881478e-17,8.3955060637382468e-17,-1.9546956227681464e-01,-1.1783799268447270e+00,-1.3552096651233914e+00,-1.0682022537864222e+00,-6.5149049203014675e-02,1.6106791180135188e-05
ODR01_DYNAMICS_T_SM,122,1.220000000000e+00,3.0125261404800944e-04,-7.7485049216310248e-05,-2.1456158672489368e-04,9.9936465290533238e-01,5.8760740720766166e-03,-3.4235953024297668e-02,7.9788343398139901e-03,3.1778070572421949e-02,-1.3383957119249304e-01,5.5187790354974051e-02,4.0850384319139579e+00,1.3867502307726855e-02,1.3867502307469278e-02,1.3365253545740019e-16,1.7541305574877886e-17,-1.9953771141352589e-01,-1.1810894551624116e+00,-1.3542985815033868e+00,-1.0650425631432552e+00,-6.6505122001736985e-02,1.6059148070225131e-05
ODR01_DYNAMICS_T_SM,123,1.230000000000e+00,3.1617611016262191e-04,-7.6659448168020177e-05,-2.1949210257018307e-04,9.9933820536507989e-01,6.0323614370518704e-03,-3.4907566215687719e-02,8.2597659828676697e-03,3.2465294696569544e-02,-1.3483164886701138e-01,5.6639520320879808e-02,4.1692045302073311e+00,1.4209548008574758e-02,1.4209548008710996e-02,3.1798006553922508e-17,6.2450045135165055e-17,-2.0364796227287851e-01,-1.1838270246865235e+00,-1.3533780689788404e+00,-1.0618501725142662e+00,-6.7875228946930988e-02,1.6011011896533041e-05
ODR01_DYNAMICS_T_SM,124,1.240000000000e+00,3.3161212715886206e-04,-7.5729251090690428e-05,-2.2449697431365295e-04,9.9931094484578475e-01,6.1918950426073597e-03,-3.5584071128729092e-02,8.5480892082513641e-03,3.3164743013233210e-02,-1.3579910832587580e-01,5.8111580272531951e-02,4.2542162251405689e+00,1.4556493691849741e-02,1.4556493691986375e-02,1.4505441958944427e-16,9.0243143022042449e-17,-2.0780011969397755e-01,-1.1865925054331430e+00,-1.3524481712570717e+00,-1.0586252334789661e+00,-6.9259304983857531e-02,1.5962384944636877e-05
ODR01_DYNAMICS_T_SM,125,1.250000000000e+00,3.4757095927649744e-04,-7.4691815941722276e-05,-2.2957693332524960e-04,9.9928285666994254e-01,6.3547278102114744e-03,-3.6265342605041814e-02,8.8439089635927396e-03,3.3876530888750603e-02,-1.3674135730609435e-01,5.9603691021845893e-02,4.3400683126833224e+00,1.4908343296527285e-02,1.4908343296163919e-02,5.2387500138409078e-17,1.0408340855860843e-17,-2.1199398226440494e-01,-1.1893857632546192e+00,-1.3515089334454620e+00,-1.0553679024723597e+00,-7.0657282973900892e-02,1.5913269573327729e-05
ODR01_DYNAMICS_T_SM,126,1.260000000000e+00,3.6406291453755301e-04,-7.3544509957202143e-05,-2.3473272498963723e-04,9.9925392618981279e-01,6.5209130274392242e-03,-3.6951252503709238e-02,9.1473288964576752e-03,3.4600767929598299e-02,-1.3765780861248497e-01,6.1115554755495710e-02,4.4267554272308489e+00,1.5265098982348620e-02,1.5265098982754714e-02,4.3885418357208765e-17,3.7527806648313014e-17,-2.1622934238150973e-01,-1.1922066598803913e+00,-1.3505604020377284e+00,-1.0520783407373449e+00,-7.2069093714999297e-02,1.5863668213892066e-05
ODR01_DYNAMICS_T_SM,127,1.270000000000e+00,3.8109830985379932e-04,-7.2284711555754369e-05,-2.3996510922261909e-04,9.9922413879605176e-01,6.6905043202387989e-03,-3.7641669716169716e-02,9.4584512584562838e-03,3.5337557667991189e-02,-1.3854788060359924e-01,6.2646855021260411e-02,4.5142720419212425e+00,1.5626761030437895e-02,1.5626761029915625e-02,5.4636905236298072e-17,4.2349997174859565e-17,-2.2050598631369692e-01,-1.1950550529578099e+00,-1.3496026249001978e+00,-1.0487567142771081e+00,-7.3494665962074837e-02,1.5813583369393935e-05
ODR01_DYNAMICS_T_SM,128,1.280000000000e+00,3.9868746602099252e-04,-7.0909812149511659e-05,-2.4527486085686341e-04,9.9919347992531737e-01,6.8635556210106799e-03,-3.8336460210127522e-02,9.7773768224919868e-03,3.6086997247807930e-02,-1.3941099768443657e-01,6.4197256734563404e-02,4.6026124722247648e+00,1.5993327741193761e-02,1.5993327741488060e-02,4.4430599737083413e-17,9.0575991152506349e-17,-2.2482369426171733e-01,-1.1979307960929573e+00,-1.3486356512580799e+00,-1.0454031938075226e+00,-7.4933926447463786e-02,1.5763017613957210e-05
ODR01_DYNAMICS_T_SM,129,1.290000000000e+00,4.1684070267779819e-04,-6.9417218136133047e-05,-2.5066277020973493e-04,9.9916193506934503e-01,7.0401211389024155e-03,-3.9035487041305494e-02,1.0104204782154050e-02,3.6849177111419600e-02,-1.4024659080527554e-01,6.5766406205517561e-02,4.6917708753667346e+00,1.6364795329630866e-02,1.6364795329721162e-02,1.1816510524180758e-16,5.5943151141397620e-17,-2.2918224041995650e-01,-1.2008337388914680e+00,-1.3476595316817421e+00,-1.0420179547095447e+00,-7.6386799901346530e-02,1.5711973592047794e-05
ODR01_DYNAMICS_T_SM,130,1.300000000000e+00,4.3556833319891638e-04,-6.7804352753740419e-05,-2.5612964348705429e-04,9.9912948978273897e-01,7.2202553256818219e-03,-3.9738610399346792e-02,1.0439032668057331e-02,3.7624180688015603e-02,-1.4105409796592869e-01,6.7353931186761556e-02,4.7817412536818127e+00,1.6741157818359421e-02,1.6741157818053760e-02,6.5461394166803377e-17,4.8765480531699062e-17,-2.3358139303772432e-01,-1.2037637269993509e+00,-1.3466743180729834e+00,-1.0386011769816117e+00,-7.7853209072177881e-02,1.5660454017755868e-05
ODR01_DYNAMICS_T_SM,131,1.310000000000e+00,4.5488065952818457e-04,-6.6068658045387879e-05,-2.6167630328444657e-04,9.9909612969155603e-01,7.4040128420893945e-03,-4.0445687637999522e-02,1.0781956254646053e-02,3.8412084084030164e-02,-1.4183296472470014e-01,6.8959440942343422e-02,4.8725174557833153e+00,1.7122406928405852e-02,1.7122406928876035e-02,1.9490758875179341e-16,5.6611551807752851e-17,-2.3802091448054497e-01,-1.2067206021438091e+00,-1.3456800636513073e+00,-1.0351530451920381e+00,-7.9333074747117316e-02,1.5608461674078087e-05
