t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_L5,eta_R1,eta_R2,eta_R3,eta_R4,eta_R5,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.2200,19.311235,0.542078,19.300655,0.448608,1.594734,0.443657,1.835242,-1.964311,1.514618,-5.89256140e-04,-1.13920917e-05,-1.17505912e-06,6.07925030e-07,-6.88586508e-08,4.53601136e-04,7.63683517e-06,6.60465575e-07,-3.35970722e-07,3.98849934e-08,6.32011523e-01,9.32901144e-02,2.01186052e-02,2.99944380e+00,3.41479989e-07,3.452e-16,1.776e-15
0.2300,19.316399,0.564468,19.304913,0.468098,1.594750,0.443314,1.835292,-2.022703,1.556074,-5.91924144e-04,1.23357547e-06,-5.02008339e-06,-1.11060311e-06,1.18419913e-07,4.56924874e-04,-8.64628650e-08,2.90253638e-06,6.15965433e-07,-6.28521475e-08,6.32001559e-01,9.32853232e-02,2.01902840e-02,2.99938956e+00,3.53707418e-07,4.025e-16,1.332e-15
0.2400,19.321590,0.586860,19.309160,0.487591,1.594773,0.442975,1.835338,-2.066787,1.587876,-5.92204321e-04,1.36491068e-05,-3.32744900e-06,6.35759847e-07,-1.42242242e-07,4.58499659e-04,-7.73602477e-06,1.96734226e-06,-3.40994264e-07,7.66216897e-08,6.31993618e-01,9.32810094e-02,2.02515946e-02,2.99934280e+00,3.63980370e-07,3.244e-16,2.220e-15
0.2500,19.326807,0.609255,19.313396,0.507087,1.594824,0.442649,1.835366,-2.074769,1.597697,-5.90099138e-04,2.39570138e-05,1.99370261e-06,3.94489665e-07,1.42311619e-07,4.58319149e-04,-1.41439365e-05,-1.08972304e-06,-2.19159531e-07,-7.33068399e-08,6.31993620e-01,9.32785568e-02,2.02723293e-02,2.99932512e+00,3.74575357e-07,4.753e-16,3.109e-15
0.2600,19.332052,0.631653,19.317622,0.526585,1.594884,0.442326,1.835389,-2.067539,1.596917,-5.85620450e-04,3.05893603e-05,5.09389256e-06,-1.04916046e-06,-1.14245310e-07,4.56383986e-04,-1.83365899e-05,-2.90835599e-06,5.82999981e-07,5.97168809e-08,6.31995802e-01,9.32766313e-02,2.02815852e-02,2.99931576e+00,3.79833744e-07,8.379e-16,8.882e-16
0.2700,19.337323,0.654054,19.321837,0.546085,1.594952,0.442007,1.835408,-2.064991,1.596800,-5.78787684e-04,3.25469500e-05,2.61289736e-06,7.76386101e-07,6.91593295e-08,4.52702839e-04,-1.96820550e-05,-1.51676059e-06,-4.19461437e-07,-3.31282715e-08,6.32000259e-01,9.32752419e-02,2.02791820e-02,2.99931477e+00,3.82850742e-07,7.980e-16,9.992e-16
0.2800,19.342620,0.676458,19.326042,0.565588,1.595014,0.441684,1.835430,-2.039982,1.582089,-5.69629843e-04,2.95487301e-05,-2.67968446e-06,1.79155477e-07,-1.06998906e-08,4.47290980e-04,-1.79861295e-05,1.53052977e-06,-1.00782554e-07,4.27469214e-09,6.32002845e-01,9.32734162e-02,2.02863288e-02,2.99930694e+00,3.88834503e-07,4.892e-16,4.441e-16
0.2900,19.347944,0.698864,19.330237,0.585094,1.595051,0.441349,1.835467,-1.979932,1.545376,-5.58182553e-04,2.20733475e-05,-4.97453578e-06,-9.49542677e-07,-4.50288924e-08,4.40172057e-04,-1.35191906e-05,2.88899781e-06,5.29576595e-07,2.71438946e-08,6.31998626e-01,9.32700034e-02,2.03281088e-02,2.99927434e+00,3.94890890e-07,8.223e-16,1.776e-15
0.3000,19.353295,0.721273,19.334421,0.604602,1.595086,0.441014,1.835505,-1.891934,1.490461,-5.44490783e-04,1.12815729e-05,-1.79879324e-06,8.77852172e-07,9.33691227e-08,4.31376207e-04,-6.97414234e-06,1.09443497e-06,-4.76167036e-07,-4.97309796e-08,6.31993975e-01,9.32664832e-02,2.03722627e-02,2.99924002e+00,4.05634013e-07,7.702e-16,1.776e-15
0.3100,19.358672,0.743684,19.338594,0.624113,1.595135,0.440687,1.835535,-1.776258,1.418012,-5.28611321e-04,-1.16509482e-06,3.32020950e-06,-2.97398453e-08,-1.20605217e-07,4.20938312e-04,6.40135890e-07,-1.85971712e-06,1.41642574e-08,6.54218957e-08,6.31993088e-01,9.32638320e-02,2.03974931e-02,2.99921917e+00,4.20774275e-07,1.844e-15,1.776e-15
0.3200,19.364076,0.766098,19.342757,0.643626,1.595174,0.440354,1.835571,-1.665505,1.346838,-5.10608222e-04,-1.33581241e-05,4.77268610e-06,-8.18805326e-07,1.27830029e-07,4.08900584e-04,8.15585812e-06,-2.73567317e-06,4.58528740e-07,-6.59932869e-08,6.31989637e-01,9.32605862e-02,2.04357234e-02,2.99918905e+00,4.33077577e-07,1.145e-15,3.553e-15
0.3300,19.369506,0.788515,19.346910,0.663141,1.595208,0.440021,1.835609,-1.582901,1.290490,-4.90553263e-04,-2.34349328e-05,1.01332644e-06,9.38249609e-07,-1.09187516e-07,3.95311871e-04,1.44251122e-05,-5.99817362e-07,-5.10510098e-07,5.75289326e-08,6.31985009e-01,9.32570561e-02,2.04801929e-02,2.99915443e+00,4.45566090e-07,1.145e-15,2.665e-15
0.3400,19.374962,0.810934,19.351052,0.682660,1.595229,0.439681,1.835656,-1.498219,1.232557,-4.68526170e-04,-2.98636013e-05,-3.79639389e-06,-2.24008407e-07,7.42679898e-08,3.80227150e-04,1.84950032e-05,2.18321714e-06,1.21629974e-07,-3.61562686e-08,6.31976565e-01,9.32526286e-02,2.05442936e-02,2.99910576e+00,4.56531144e-07,4.805e-16,8.882e-16
0.3500,19.380445,0.833355,19.355183,0.702181,1.595228,0.439329,1.835716,-1.411922,1.172935,-4.44612990e-04,-3.16750055e-05,-4.39357697e-06,-6.63545612e-07,-2.44573275e-08,3.63708165e-04,1.97530233e-05,2.56849190e-06,3.74172529e-07,1.19749884e-08,6.31961874e-01,9.32467484e-02,2.06401758e-02,2.99903446e+00,4.63065615e-07,6.939e-17,4.441e-16
0.3600,19.385954,0.855779,19.359303,0.721705,1.595244,0.438987,1.835766,-1.326404,1.113103,-4.18908857e-04,-2.86102688e-05,-1.72361594e-07,9.57854992e-07,-2.52199003e-08,3.45821276e-04,1.80181416e-05,1.61779048e-07,-5.22470234e-07,1.64512898e-08,6.31952083e-01,9.32420100e-02,2.07111621e-02,2.99898096e+00,4.73411370e-07,1.804e-16,4.441e-16
0.3700,19.391489,0.878205,19.363413,0.741231,1.595278,0.438653,1.835804,-1.239093,1.051880,-3.91518668e-04,-2.11580603e-05,4.20546023e-06,-3.97500188e-07,7.13231059e-08,3.26636545e-04,1.35663761e-05,-2.37933158e-06,2.17377719e-07,-3.80434314e-08,6.31947437e-01,9.32384873e-02,2.07555813e-02,2.99894650e+00,4.87120910e-07,3.886e-16,3.109e-15
0.3800,19.397050,0.900633,19.367513,0.760760,1.595320,0.438321,1.835838,-1.178240,1.005126,-3.62552568e-04,-1.04749149e-05,3.95860468e-06,-4.92100347e-07,-1.00346869e-07,3.06230018e-04,7.08837961e-06,-2.27938841e-06,2.80165808e-07,5.48847089e-08,6.31944558e-01,9.32353970e-02,2.07905524e-02,2.99891888e+00,5.01991377e-07,9.315e-16,3.109e-15
0.3900,19.402638,0.923065,19.371601,0.780292,1.595371,0.437992,1.835866,-1.136262,0.968673,-3.32126384e-04,1.79367690e-06,-5.92847829e-07,9.38361233e-07,1.12935960e-07,2.84682785e-04,-4.18101691e-07,3.23448990e-07,-5.13047577e-07,-5.84569673e-08,6.31944360e-01,9.32329463e-02,2.08115380e-02,2.99890132e+00,5.22707389e-07,1.152e-15,8.882e-16
0.4000,19.408252,0.945499,19.375680,0.799825,1.595420,0.437661,1.835895,-1.077916,0.922316,-3.00361635e-04,1.37664135e-05,-4.43294577e-06,-5.44078633e-07,-1.02175788e-07,2.62080363e-04,-7.80208630e-06,2.56010504e-06,2.98819658e-07,5.42243397e-08,6.31943070e-01,9.32302579e-02,2.08377372e-02,2.99888013e+00,5.43133629e-07,1.702e-15,6.661e-16
