t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_L5,eta_R1,eta_R2,eta_R3,eta_R4,eta_R5,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.2200,19.306155,0.519742,19.296444,0.429119,1.594629,0.444269,1.835123,-1.890499,1.464483,-5.84345693e-04,-2.26079955e-05,4.51763247e-06,7.49148543e-07,3.70146770e-08,4.48835995e-04,1.44194264e-05,-2.60486337e-06,-4.10211103e-07,-1.75319421e-08,6.32065432e-01,9.33013307e-02,2.00813741e-02,2.99940804e+00,4.66684296e-07,1.665e-16,2.665e-15
0.2300,19.311296,0.542128,19.300715,0.448605,1.594672,0.443942,1.835157,-1.966992,1.516895,-5.89404090e-04,-1.15363802e-05,-1.34260766e-06,9.69356190e-07,-3.27247081e-07,4.53871269e-04,7.69324894e-06,7.72540447e-07,-5.42829413e-07,1.79211854e-07,6.32063424e-01,9.32983725e-02,2.01129641e-02,2.99938239e+00,4.81796398e-07,8.830e-16,6.661e-16
0.2400,19.316463,0.564517,19.304976,0.468095,1.594681,0.443595,1.835211,-2.021794,1.556287,-5.92084189e-04,1.28209498e-06,-5.65811181e-06,-1.79266910e-06,5.51181279e-07,4.57167857e-04,-1.52393168e-07,3.28533614e-06,1.00739955e-06,-3.00154445e-07,6.32051448e-01,9.32931124e-02,2.01947504e-02,2.99932095e+00,4.97937633e-07,9.923e-16,3.331e-16
0.2500,19.321657,0.586909,19.309225,0.487587,1.594703,0.443255,1.835258,-2.072655,1.591749,-5.92375520e-04,1.38824144e-05,-3.73417136e-06,1.03307678e-06,-6.65476249e-07,4.58714726e-04,-7.91363239e-06,2.20005514e-06,-5.69494745e-07,3.65849682e-07,6.32043100e-01,9.32887016e-02,2.02580654e-02,2.99927277e+00,5.11551325e-07,7.633e-17,2.220e-15
0.2600,19.326877,0.609303,19.313464,0.507082,1.594758,0.442932,1.835284,-2.074805,1.598112,-5.90280646e-04,2.43388111e-05,2.25980807e-06,6.24524536e-07,6.58818836e-07,4.58505579e-04,-1.44055767e-05,-1.25947651e-06,-3.50637464e-07,-3.60688518e-07,6.32044223e-01,9.32865087e-02,2.02730152e-02,2.99925926e+00,5.25397748e-07,4.684e-16,1.776e-15
0.2700,19.332124,0.631700,19.317693,0.526579,1.594816,0.442607,1.835309,-2.066851,1.596732,-5.85812018e-04,3.10604837e-05,5.73482184e-06,-1.69129847e-06,-5.31452437e-07,4.56540775e-04,-1.86421250e-05,-3.29092842e-06,9.51343732e-07,2.93694053e-07,6.32045590e-01,9.32843956e-02,2.02862432e-02,2.99924710e+00,5.33641424e-07,5.308e-16,1.332e-15
0.2800,19.337398,0.654100,19.321911,0.546079,1.594888,0.442290,1.835325,-2.067066,1.598123,-5.78988176e-04,3.30352412e-05,2.92492122e-06,1.25830616e-06,3.15579371e-07,4.52829634e-04,-1.99844756e-05,-1.69208725e-06,-6.96324205e-07,-1.73548597e-07,6.32051203e-01,9.32832724e-02,2.02779114e-02,2.99925037e+00,5.39885619e-07,6.106e-16,1.776e-15
0.2900,19.342698,0.676503,19.326119,0.565581,1.594949,0.441967,1.835347,-2.043807,1.584294,-5.69838958e-04,2.99792561e-05,-3.03372312e-06,2.76908109e-07,-4.80554242e-08,4.47386999e-04,-1.82394174e-05,1.75148626e-06,-1.56461454e-07,2.91910780e-08,6.32053728e-01,9.32814330e-02,2.02852358e-02,2.99924246e+00,5.49127593e-07,1.436e-15,8.882e-16
0.3000,19.348025,0.698908,19.330316,0.585086,1.594986,0.441632,1.835384,-1.982447,1.546599,-5.58399430e-04,2.23805594e-05,-5.60081711e-06,-1.52878437e-06,-2.16111990e-07,4.40236956e-04,-1.36848229e-05,3.26067636e-06,8.61826909e-07,1.18155482e-07,6.32049405e-01,9.32779914e-02,2.03275310e-02,2.99920950e+00,5.57888268e-07,2.064e-16,1.332e-15
0.3100,19.353378,0.721316,19.334503,0.604593,1.595016,0.441295,1.835425,-1.894554,1.491568,-5.44714015e-04,1.14192831e-05,-2.01047465e-06,1.42000878e-06,4.34844976e-07,4.31410086e-04,-7.02694655e-06,1.20952533e-06,-7.87444656e-07,-2.36246090e-07,6.32043372e-01,9.32741493e-02,2.03785879e-02,2.99917028e+00,5.72051169e-07,2.272e-16,3.109e-15
