station_mm,Y_min,Y_max,Z_min,Z_max,width_Y,width_Z,responsible_Y_min,responsible_Y_max,responsible_Z_min,responsible_Z_max,component_set_at_station
26.0,-68.396,-14.937,5.579,5.613,53.459,0.034,link4,link4,link4,link4,link4
27.0,-70.698,-12.629,1.312,1.349,58.070,0.037,link4,link4,link4,link4,link4
29.0,-72.266,-11.056,-3.251,-3.212,61.210,0.039,link4,link4,link4,link4,link4
30.0,-73.058,-10.258,-15.350,-7.954,62.800,7.395,link4,link4,link4,link4,link4
32.0,-73.055,-10.255,-12.798,-12.758,62.800,0.040,link4,link4,link4,link4,link4
33.0,-75.391,-8.041,-50.891,84.727,67.350,135.618,link2,link2,link4,link2,link2|link4
34.0,-70.684,-12.614,-22.101,-22.064,58.070,0.037,link4,link4,link4,link4,link4
36.0,-68.375,-14.917,-26.365,-26.331,53.459,0.034,link4,link4,link4,link4,link4
37.0,-65.391,-17.896,-30.224,-30.194,47.494,0.030,link4,link4,link4,link4,link4
42.0,-50.940,-32.327,-48.176,-46.115,18.614,2.061,link4,link4,link4,link4,link4
101.0,-75.404,-8.041,84.042,104.649,67.363,20.607,link2,link2,link2,link2,link2
115.0,-81.317,-1.065,42.224,46.559,80.253,4.335,link3,link3,link3,link3,link3
116.0,-81.320,-1.062,38.056,50.772,80.258,12.716,link3,link3,link3,link3,link3
118.0,-81.322,-1.059,34.186,54.730,80.263,20.544,link3,link3,link3,link3,link3
119.0,-1.067,-1.065,42.853,46.379,0.002,3.526,link3,link3,link3,link3,link3
120.0,-1.067,-1.065,42.443,46.779,0.003,4.336,link3,link3,link3,link3,link3
121.0,-81.307,-1.057,30.784,30.835,80.250,0.051,link3,link3,link3,link3,link3
124.0,-81.305,-1.055,27.999,28.050,80.250,0.051,link3,link3,link3,link3,link3
126.0,-81.332,-1.082,69.971,70.022,80.250,0.051,link3,link3,link3,link3,link3
128.0,-81.304,-1.054,25.951,26.002,80.250,0.051,link3,link3,link3,link3,link3
132.0,-81.303,-1.053,24.731,24.782,80.250,0.051,link3,link3,link3,link3,link3
133.0,-1.076,-1.076,61.131,61.131,0.000,0.000,link3,link3,link3,link3,link3
134.0,-1.077,-1.056,28.462,61.708,0.021,33.245,link3,link3,link3,link3,link3
135.0,-1.077,-1.055,28.027,61.930,0.021,33.904,link3,link3,link3,link3,link3
136.0,-81.303,-1.053,22.394,61.898,80.250,39.504,link3,link3,link3,link3,link3
137.0,-1.077,-1.056,28.074,61.552,0.021,33.478,link3,link3,link3,link3,link3
138.0,-1.056,-1.056,28.567,28.933,0.000,0.366,link3,link3,link3,link3,link3
139.0,-81.348,-1.098,94.569,94.620,80.250,0.051,link3,link3,link3,link3,link3
140.0,-81.304,-1.054,24.949,24.999,80.250,0.051,link3,link3,link3,link3,link3
141.0,-79.302,-3.052,23.005,23.053,76.250,0.048,link3,link3,link3,link3,link3
144.0,-81.304,-1.054,26.376,26.427,80.250,0.051,link3,link3,link3,link3,link3
147.0,-81.357,-1.107,109.457,109.508,80.250,0.051,link3,link3,link3,link3,link3
148.0,-81.306,-1.056,28.613,28.664,80.250,0.051,link3,link3,link3,link3,link3
150.0,-81.359,-1.109,112.987,113.038,80.250,0.051,link3,link3,link3,link3,link3
