path,bytes,MiB,git_state,over_100_MiB
80_third_party/vendor/chrono/data/vehicle/feda/meshes/feda_chassis.obj,75334188,71.844,not_git_enumerated,False
80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/.reBot_B601_DM_v1.1_20260425.step.glb,68306564,65.142,ignored,False
80_third_party/external/spacecraft_layout_refs/albertasat/ex2_hyperion_solar_panel_hardware/.git/objects/pack/pack-a75af5754b16c84e7e0ed629e00dccc791b7d56d.pack,63563490,60.619,not_git_enumerated,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp07_system_20260907_0610/viewer/WP07_SERVICE_REVIEW.glb,61545724,58.695,tracked,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp07_system_20260907_0610/viewer/history/V1_FAILED_DISPLAY_BOUNDS/WP07_SERVICE_REVIEW.glb,61545724,58.695,tracked,False
80_third_party/vendor/EXUDYN/.git/objects/pack/pack-81bfa5f998b945c25165a91bcc20c4cac68a603d.pack,60955656,58.132,not_git_enumerated,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp04_robot_assembly_20260906_175153/viewer/complete_service_robot.glb,60551400,57.746,tracked,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp10_mechatronic_closure_20260908/implementation/history/20260909_before_fixed_heat_path/WP10_IMPLEMENTATION_DELTA.zip,57327018,54.671,tracked,False
80_third_party/vendor/chrono/data/vehicle/terrain/sph/S-lane_RMS/sph_particles.txt,56996758,54.356,not_git_enumerated,False
80_third_party/vendor/chrono/data/fsi-tdpf/cparray/cparray.h5,55866864,53.279,not_git_enumerated,False
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp10_mechatronic_closure_20260908/implementation/history/20260909_before_startup_revision/WP10_IMPLEMENTATION_DELTA.zip,54888460,52.346,tracked,False
20_engineering/F3R2_V5R_FREECAD_OPERATIONAL_CLOSURE_20260820/03_fcstd/FC02B_FULL_SYSTEM_REPAIRED.FCStd,54373144,51.854,tracked,False
20_engineering/F3R2_V5R_FREECAD_OPERATIONAL_CLOSURE_20260820/03_fcstd/FC02_FULL_SYSTEM_IMPORT.FCStd,53869378,51.374,tracked,False
20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/06_pack_and_go/V5R_NEUTRAL_OPERATIONAL_PACKAGE/cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.FCStd,53841402,51.347,tracked,False
20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.FCStd,53841402,51.347,tracked,False
20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/F3R2_SPACE_EMBODIED_ROBOT_OPERATIONAL_BASELINE.FCStd,53841402,51.347,tracked,False
