lane_id,sample_index,t_s,base_x_m,base_y_m,base_z_m,quat_w,quat_x,quat_y,quat_z,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,base_dev_deg,tip_L_mm,tip_R_mm,energy_J,joint_work_J,damping_energy_J,momentum_dP_norm,momentum_dL_norm,eta_1,eta_2,eta_3,eta_4,eta_5,eta_6
LEGACY_A__M07_ARM_ONLY,10,1.000000000000e+00,3.0786061130970291e-04,-9.2157138182681747e-05,-6.2870754264889505e-05,9.9974266456873806e-01,6.0979505267603233e-03,-2.1526513466330610e-02,3.7455117617092282e-03,3.6105654906916848e-02,-1.1021071258685923e-01,3.1378785184379400e-02,2.5997209425468859e+00,-3.0005316276701710e-01,9.6855812650538964e-01,6.9811382543741533e-03,6.9811521974289994e-03,1.3943042142555827e-08,2.5629631253355998e-17,8.8378056933076665e-17,-8.9051922667987571e-05,-5.2101948267160503e-07,-2.2062484615047790e-08,2.8886415878015900e-04,3.2577819642089010e-06,2.3861723385913612e-07
LEGACY_A__M07_ARM_ONLY,11,1.100000000000e+00,4.4819693436392308e-04,-1.1135459547603266e-04,-8.0649642930194794e-05,9.9957641475009151e-01,8.0940991978480734e-03,-2.7387450583513408e-02,5.6039436171458294e-03,4.4732752896635565e-02,-1.2393227463213147e-01,4.3069923628479986e-02,3.3354418340677423e+00,-4.5872279574753883e-01,9.5021946054684792e-01,9.3095698968139861e-03,9.3095852986347528e-03,1.5401784127950344e-08,6.6668824945061097e-17,4.4161778467915635e-17,-1.3620887866379799e-04,-8.7876682343055901e-07,-5.0110815001985745e-08,2.8384531858241481e-04,3.6626125203101606e-06,2.5010288662631811e-07
LEGACY_A__M07_ARM_ONLY,12,1.200000000000e+00,6.3533699388293875e-04,-1.2924707033598647e-04,-1.0289368396569588e-04,9.9933677416883993e-01,1.0543218505251162e-02,-3.3897081901395905e-02,8.1141959514178640e-03,5.4833459833773440e-02,-1.3601664391966159e-01,5.7158203540644839e-02,4.1737107516295433e+00,-6.6107192437372031e-01,1.0340761329189212e+00,1.2021890544738505e-02,1.2021908678002390e-02,1.8133184088731380e-08,1.3605488863089358e-16,7.2540843184049752e-17,-1.9637722334972261e-04,-1.3604433224655123e-06,-8.1578158941575769e-08,3.0876944268132115e-04,3.8512308194578575e-06,2.6273492111120985e-07
LEGACY_A__M07_ARM_ONLY,13,1.300000000000e+00,8.7865261726877510e-04,-1.4417915817472235e-04,-1.3059599881597240e-04,9.9900444703381974e-01,1.3513278217084475e-02,-4.0958438102036879e-02,1.1397915016413570e-02,6.6483784007408162e-02,-1.4585628410087839e-01,7.3499482447415818e-02,5.1137070875222257e+00,-8.9133650954845123e-01,1.2247841171490002e+00,1.5112640690246171e-02,1.5112663799588111e-02,2.3109283861320242e-08,3.7550352644127728e-17,3.4788574310662278e-17,-2.6481905687060562e-04,-1.8803432848818406e-06,-1.1630840612052147e-07,3.6502925571328172e-04,3.8400232313362786e-06,2.7426578215041911e-07
LEGACY_A__M07_ARM_ONLY,14,1.400000000000e+00,1.1874830336457069e-03,-1.5430793392401100e-04,-1.6479120184593519e-04,9.9855861704093452e-01,1.7072931944938023e-02,-4.8444678415108737e-02,1.5566517316235847e-02,7.9718576814792913e-02,-1.5288277810286824e-01,9.1754924099654578e-02,6.1533199403606833e+00,-1.1274608405829771e+00,1.4810404058475528e+00,1.8563586297349988e-02,1.8563616131398043e-02,2.9834486048569793e-08,1.3555718671475996e-16,4.5465834213742490e-17,-3.3496467392280779e-04,-2.3776685141825187e-06,-1.5403351139732115e-07,4.4097863775587227e-04,4.1666780603446195e-06,2.7898447370186304e-07
LEGACY_A__M07_ARM_ONLY,15,1.500000000000e+00,1.5706268747106135e-03,-1.5769475136216546e-04,-2.0662472233575355e-04,9.9797753873093309e-01,2.1288727506154105e-02,-5.6201856214990097e-02,2.0711678534282959e-02,9.4507192605292639e-02,-1.5661346594574649e-01,1.1139181722156197e-01,7.2892182710915749e+00,-1.3467681728379959e+00,1.7360673377267526e+00,2.2338465546703556e-02,2.2338501623851453e-02,3.6076776010149447e-08,1.7429655166857164e-16,6.8188731983430249e-17,-4.0023209163792098e-04,-2.9606174260634732e-06,-1.9247742554300724e-07,5.1616072156412886e-04,4.0838166882344707e-06,2.7867218488046738e-07
LEGACY_A__M07_ARM_ONLY,16,1.600000000000e+00,2.0358184483826739e-03,-1.5243079740287764e-04,-2.5752792635620319e-04,9.9723922524137198e-01,2.6221841197826338e-02,-6.4054169832407415e-02,2.6896208120575544e-02,1.1072487098045861e-01,-1.5670202068219330e-01,1.3170694538120467e-01,8.5169300443800200e+00,-1.5329494284826388e+00,1.9149636354618416e+00,2.6376747541981667e-02,2.6376787360033165e-02,3.9818523351949963e-08,2.3185708454089742e-16,2.2878179047879968e-16,-4.5563237184344078e-04,-3.4500391014623113e-06,-2.2822298199966535e-07,5.6894928312092061e-04,4.0747200522210803e-06,2.7765031386530750e-07
LEGACY_A__M07_ARM_ONLY,17,1.700000000000e+00,2.5892163919824037e-03,-1.3679714956836149e-04,-3.1932423877862129e-04,9.9632225449860656e-01,3.1923291703989838e-02,-7.1811498289501133e-02,3.4146410514324724e-02,1.2813186224489986e-01,-1.5298409815203282e-01,1.5187181648108486e-01,9.8308632333257204e+00,-1.6764971745723629e+00,1.9666356538741423e+00,3.0587805488179933e-02,3.0587846704574814e-02,4.1216578742850478e-08,1.9405704579567011e-16,1.4948470627924234e-16,-4.9839162762497656e-04,-3.8754061568696124e-06,-2.5875566125217982e-07,5.8432119110378834e-04,4.1940721685368563e-06,2.7476030773777539e-07
LEGACY_A__M07_ARM_ONLY,18,1.800000000000e+00,3.2349408762803234e-03,-1.0944217431666465e-04,-3.9427773511203023e-04,9.9520672097779139e-01,3.8428004100826751e-02,-7.9278823708955226e-02,4.2446897799298118e-02,1.4633676519471922e-01,-1.4550154240820470e-01,1.7100059901711498e-01,1.1224257161514755e+01,-1.7737307640405975e+00,1.8812593739347567e+00,3.4849276079527959e-02,3.4849318323349636e-02,4.2244658155848671e-08,1.3033535192956301e-16,1.6792723720076440e-16,-5.2742587666132588e-04,-4.2369761913242128e-06,-2.8206716564791882e-07,5.5881301857960174e-04,3.8728939685317952e-06,2.6514374876981922e-07
LEGACY_A__M07_ARM_ONLY,19,1.900000000000e+00,3.9746854610388307e-03,-6.9552854255702987e-05,-4.8502947761030590e-04,9.9387536957950673e-01,4.5748497518502518e-02,-8.6266717648247046e-02,5.1738555683320586e-02,1.6480085005261366e-01,-1.3451000512731223e-01,1.8822538358446342e-01,1.2689060748076807e+01,-1.8229737448264682e+00,1.6851261106956810e+00,3.9009008415754755e-02,3.9009052952343838e-02,4.4537061348157891e-08,8.2189747603657352e-17,1.8281928140009643e-16,-5.4207169595272848e-04,-4.3630558170962296e-06,-2.9512544423424337e-07,5.0084682142182411e-04,3.7724318485746280e-06,2.4719588794561789e-07
LEGACY_A__M07_ARM_ONLY,20,2.000000000000e+00,4.8074149244375156e-03,-1.7001866776935060e-05,-5.9433667428149771e-04,9.9231495084102050e-01,5.3868942614243534e-02,-9.2601780889508628e-02,6.1919993015972119e-02,1.8286797188412862e-01,-1.2046235276427397e-01,2.0276957075434188e-01,1.4215740096635376e+01,-1.8185813505909059e+00,1.4336465021301408e+00,4.2892148798285464e-02,4.2892196841802281e-02,4.8043516910325884e-08,1.7199254584607388e-16,1.5170034212027889e-16,-5.4078037473846902e-04,-4.3681326124505875e-06,-2.9522138402929311e-07,4.2636897954374841e-04,3.4890204884989953e-06,2.2389465924387658e-07
LEGACY_A__M07_ARM_ONLY,21,2.100000000000e+00,5.7291822723733125e-03,4.7558846427136227e-05,-7.2475450328261587e-04,9.9051772336029165e-01,6.2741435039875643e-02,-9.8136150919901674e-02,7.2852233465475411e-02,1.9980801746375956e-01,-1.0396962767517876e-01,2.1401056193452478e-01,1.5793111801474639e+01,-1.7508825646024999e+00,1.1832968278928446e+00,4.6313425731311281e-02,4.6313477542185483e-02,5.1810695795445648e-08,2.4011756756907669e-16,9.4285701872174827e-17,-5.2062251601140059e-04,-4.1766104229433582e-06,-2.8200424435697791e-07,3.5190146066495904e-04,2.8767592906379323e-06,1.9489161858967002e-07
LEGACY_A__M07_ARM_ONLY,22,2.200000000000e+00,6.7330798070638449e-03,1.2266775966896984e-04,-8.7826487371868011e-04,9.8848296864698371e-01,7.2285259942175314e-02,-1.0275517832131638e-01,8.4366078598526351e-02,2.1489682373813598e-01,-8.5756660991795422e-02,2.2151840831316241e-01,1.7408269386791655e+01,-1.6077401253039694e+00,9.6735518824234379e-01,4.9090658731136563e-02,4.9090714305452511e-02,5.5574646100701119e-08,1.1144923323031321e-16,2.4687719144365460e-16,-4.7797372252245801e-04,-3.7473494344194072e-06,-2.5673120358123006e-07,2.8782306705024322e-04,2.4895289598040733e-06,1.5643970249014225e-07
LEGACY_A__M07_ARM_ONLY,23,2.300000000000e+00,7.8093419091055253e-03,2.0609258376239341e-04,-1.0559293098597103e-03,9.8621830442731484e-01,8.2389373215663780e-02,-1.0638271095728433e-01,9.6271314538761546e-02,2.2748215008205167e-01,-6.6607722672471184e-02,2.2507500908334196e-01,1.9046667194443788e+01,-1.3795408348817084e+00,7.8926693298475104e-01,5.1060248708698221e-02,5.1060308998313104e-02,6.0290675593789968e-08,1.8695820800776508e-16,1.2806001994414872e-16,-4.1014933446252821e-04,-3.2340700691915398e-06,-2.2069466470396361e-07,2.3455166415643753e-04,1.7292786111315689e-06,1.0942885879523236e-07
LEGACY_A__M07_ARM_ONLY,24,2.400000000000e+00,8.9456200538391376e-03,2.9495368823926130e-04,-1.2577054147691006e-03,9.8374050414988334e-01,9.2918143729941935e-02,-1.0898384420036694e-01,1.0836678810422304e-01,2.3703683920990648e-01,-4.7314054815912908e-02,2.2467323966166017e-01,2.0692424366085650e+01,-1.0672239736632942e+00,6.1785434226283975e-01,5.2091961735921212e-02,5.2092029134580629e-02,6.7398656652427739e-08,7.0014952414274595e-17,6.2774463137079647e-17,-3.1732192429343348e-04,-2.5335670441572208e-06,-1.7532128829743199e-07,1.8320195268330475e-04,9.1654415419043514e-07,5.8392998823678388e-08
LEGACY_A__M07_ARM_ONLY,25,2.500000000000e+00,1.0127405034671024e-02,3.8591836893811309e-04,-1.4823639654211987e-03,9.8107564625984034e-01,1.0371898474301099e-01,-1.1056500000472112e-01,1.2045052633206563e-01,2.4320222033414232e-01,-2.8630639132987409e-02,2.2049786057281040e-01,2.2328802816155616e+01,-6.8496422872017826e-01,4.0634954033996351e-01,5.2100593925297936e-02,5.2100671959827372e-02,7.8035596880303093e-08,7.0165222299511542e-17,7.4359830331610779e-17,-2.0376428846003317e-04,-1.7377711378966017e-06,-1.2303934854618692e-07,1.2019339936207107e-04,2.7584871194783782e-07,6.0541000695697620e-09
LEGACY_A__M07_ARM_ONLY,26,2.600000000000e+00,1.1338572291205494e-02,4.7546294657970411e-04,-1.7275505643677229e-03,9.7825848613184063e-01,1.1463079875392766e-01,-1.1117156803158115e-01,1.3232912283195797e-01,2.4578974478191831e-01,-1.1231146695426570e-02,2.1289848813452353e-01,2.3938808094915100e+01,-2.6045835409370705e-01,1.1706150228223686e-01,5.1056146003927404e-02,5.1056238748737368e-02,9.2744916787417618e-08,9.3131388893344106e-17,1.0378323899858086e-16,-7.7737393653354222e-05,-9.3672131156199088e-07,-6.6904976216605140e-08,3.3895488280710007e-05,-6.9980400870494178e-07,-4.7603815561104923e-08
LEGACY_A__M07_ARM_ONLY,27,2.700000000000e+00,1.2562003986798962e-02,5.6018210907246200e-04,-1.9899633641377130e-03,9.7533107835454769e-01,1.2549221497145532e-01,-1.1088344384836095e-01,1.4382577466379406e-01,2.4477252210454020e-01,4.3243835175137179e-03,2.0235243771812775e-01,2.5505836547114036e+01,1.6981138747661431e-01,-2.6453198342418055e-01,4.8988696354126532e-02,4.8988807475571043e-02,1.1112148569600153e-07,1.8102735072348614e-16,1.6241218265345698e-16,5.0090565813004160e-05,-3.4048213258743942e-08,-9.1550625591214141e-09,-7.9402888789901604e-05,-1.4348403866273297e-06,-1.0175572989912292e-07
LEGACY_A__M07_ARM_ONLY,28,2.800000000000e+00,1.3780222286280119e-02,6.3708784128453059e-04,-2.2655242693366377e-03,9.7234087186995799e-01,1.3614837138988317e-01,-1.0980876268031975e-01,1.5478658048316049e-01,2.4026497552049961e-01,1.7613048876164394e-02,1.8942262491094161e-01,2.7014255386504821e+01,5.7088104041953569e-01,-7.1425285547856832e-01,4.5987821964706993e-02,4.5987953210612269e-02,1.3124426681112406e-07,1.3747067898028203e-16,1.2180566283362438e-16,1.6924702550945851e-04,8.1500497105346044e-07,4.8820348910597795e-08,-2.1275884473838822e-04,-2.1178077764289071e-06,-1.5230381663828351e-07
