instance,parent,mount_interface,physical_joint_status,source_revision
RB_pillar_3,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_plug_3_top,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_plug_3_bottom,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_lower_spacer_3,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_tierod_3,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_top_washer_3,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_bottom_washer_3,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_pillar_nut_3,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
WP01-MT-M3RA-REUSED,ROOT_STRUCTURE,M3R_ROOT_CHAIN,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
WP01-MT-M3RB-REUSED,ROOT_STRUCTURE,M3R_ROOT_CHAIN,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_top_washer_-70_-70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
