case_id,target,tumble_dps,approach_mps,arm_speed,pose_err_deg,inertia_scale,reaction_aware,v0_result,v0_reason,v0_post_rate_dps,v2_result,v2_reason,v2_post_rate_dps,migration
C0051,target_satellite_v0,0.5,0.005,1.5,3.0,1.0,0,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0052,target_satellite_v0,0.5,0.005,1.5,3.0,1.0,1,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0053,target_satellite_v0,0.5,0.005,1.5,3.0,1.2,0,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0054,target_satellite_v0,0.5,0.005,1.5,3.0,1.2,1,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0055,target_satellite_v0,0.5,0.01,0.5,1.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0056,target_satellite_v0,0.5,0.01,0.5,1.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0057,target_satellite_v0,0.5,0.01,0.5,1.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0058,target_satellite_v0,0.5,0.01,0.5,1.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0059,target_satellite_v0,0.5,0.01,0.5,1.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0060,target_satellite_v0,0.5,0.01,0.5,1.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0061,target_satellite_v0,0.5,0.01,0.5,2.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0062,target_satellite_v0,0.5,0.01,0.5,2.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0063,target_satellite_v0,0.5,0.01,0.5,2.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0064,target_satellite_v0,0.5,0.01,0.5,2.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0065,target_satellite_v0,0.5,0.01,0.5,2.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0066,target_satellite_v0,0.5,0.01,0.5,2.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0067,target_satellite_v0,0.5,0.01,0.5,3.0,0.8,0,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0068,target_satellite_v0,0.5,0.01,0.5,3.0,0.8,1,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0069,target_satellite_v0,0.5,0.01,0.5,3.0,1.0,0,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0070,target_satellite_v0,0.5,0.01,0.5,3.0,1.0,1,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0071,target_satellite_v0,0.5,0.01,0.5,3.0,1.2,0,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0072,target_satellite_v0,0.5,0.01,0.5,3.0,1.2,1,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0073,target_satellite_v0,0.5,0.01,1.0,1.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0074,target_satellite_v0,0.5,0.01,1.0,1.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0075,target_satellite_v0,0.5,0.01,1.0,1.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0076,target_satellite_v0,0.5,0.01,1.0,1.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0077,target_satellite_v0,0.5,0.01,1.0,1.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0078,target_satellite_v0,0.5,0.01,1.0,1.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0079,target_satellite_v0,0.5,0.01,1.0,2.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0080,target_satellite_v0,0.5,0.01,1.0,2.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0081,target_satellite_v0,0.5,0.01,1.0,2.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0082,target_satellite_v0,0.5,0.01,1.0,2.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0083,target_satellite_v0,0.5,0.01,1.0,2.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0084,target_satellite_v0,0.5,0.01,1.0,2.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0085,target_satellite_v0,0.5,0.01,1.0,3.0,0.8,0,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0086,target_satellite_v0,0.5,0.01,1.0,3.0,0.8,1,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0087,target_satellite_v0,0.5,0.01,1.0,3.0,1.0,0,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
