id,responsibility_owner,source_parent_assembly,representation_role,physical_mass_applicable,mass_accounting_basis,candidate_material_mass_kg,legacy_planning_budget_kg,as_built_mass_kg,volume_mm3,density_kg_mm3,volume_source,density_source,note
upper_deck_angle_1_1,EQUIPMENT_DECKS_AND_ADAPTERS,EQUIPMENT_BAY,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.024613333830288454,,,9116.049566773501,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=c8a7d7297e80507e69706daf0c83507ac4eb59fddd9e486ed8552262cdee3143,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=upper_deck_angle_1_1/density_kg_mm3,
R01_D_lower_-1_-150_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_-150_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_-150_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_-150_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_-50_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_-50_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_-50_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_-50_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_-130_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_-130_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_-130_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_-130_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_-70_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_-70_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_-70_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_-70_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_50_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_50_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
